ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Name
ringworm,ringworm,,,51,SORE
leprosy,leprosy,,,1655,LEPROSY
malaria (fever),malaria (fever),,,3059,MALARIA
fever (not malaria),fever (not malaria),,,1534,FEVER
"stomachache, upset stomach","stomachache, upset stomach",,,-,-
headache,headache,,,3625,HEADACHE
diarrhea,diarrhea,,,1177,DIARRHEA
scabies (the itch),scabies (the itch),,,3172,SCABIES
life,life,,,1665,LIFE
(be) alive,(be) alive,,,1422,BE ALIVE
menstrual period,menstrual period,,,766,MENSTRUATION
(be) pregnant,(be) pregnant,,,1123,PREGNANT
miscarriage,miscarriage,,,-,-
"labour (n), birth pains","labour (n), birth pains",,,-,-
"bear (child), give birth","bear (child), give birth",,,1090,BE BORN
(be) born,(be) born,,,1090,BE BORN
(be) young,(be) young,,,1207,YOUNG
grow up,grow up,,,552,GROW UP
death,death,,,758,DEATH
(be) dead,(be) dead,,,1625,DEAD
believe,believe,,,1890,BELIEVE
hope (v),hope (v),,,1092,HOPE
knowledge,knowledge,,,1597,KNOWLEDGE
wisdom,wisdom,,,-,-
(be) wise,(be) wise,,,698,WISE
(be) intelligent,(be) intelligent,,,2530,SMART
(be) stupid,(be) stupid,,,1518,STUPID
(be) confused,(be) confused,,,3858,CONFUSED
learn,learn,,,504,LEARN
teach,teach,,,709,TEACH
show,show,,,1039,SHOW
remember,remember,,,707,REMEMBER
"(be) happy, (be) joyful","(be) happy, (be) joyful",,,1495,HAPPY
rejoice,rejoice,,,2192,REJOICE
(be) sad,(be) sad,,,699,SAD
sorrow (n),sorrow (n),,,145,SORROWFUL
shame (n),shame (n),,,1776,SHAME
pity (n),pity (n),,,1141,PITY
fear (n),fear (n),,,1419,FEAR (BE AFRAID)
frighten,frighten,,,252,FRIGHTEN
"startle, surprise","startle, surprise",,,3627,SURPRISE (SOMEBODY)
(be) proud,(be) proud,,,174,PROUD
respect (v),respect (v),,,385,RESPECT (SOMEBODY)
honour (v),honour (v),,,3628,HONOR (SOMEBODY)
"despise, disdain","despise, disdain",,,2715,DESPISE
disgusting,disgusting,,,804,DISGUSTING
"want, desire (v)","want, desire (v)",,,1784,WANT
decide,decide,,,685,DECIDE
hesitate,hesitate,,,3629,HESITATE
abstain,abstain,,,303,ABSTAIN FROM FOOD
"allow, permit","allow, permit",,,3238,ALLOW
forbid,forbid,,,83,FORBID
prevent,prevent,,,1550,PREVENT
plan (n),plan (n),,,3630,PLAN
try,try,,,1812,TRY
succeed,succeed,,,1112,SUCCEED
fail,fail,,,3861,FAIL
pretend,pretend,,,3631,PRETEND
(be) kind,(be) kind,,,brave,KIND
(be) generous,(be) generous,,,3632,GENEROUS
(be) selfish,(be) selfish,,,-,-
(be) honest,(be) honest,,,1120,HONEST
(be) corrupt,(be) corrupt,,,-,-
(be) wicked,(be) wicked,,,3764,BAD OR EVIL
(be) fierce,(be) fierce,,,-,-
(be) jealous,(be) jealous,,,2821,JEALOUS
(be) shy,(be) shy,,,487,SHY
"(be) courageous, (be) brave","(be) courageous, (be) brave",,,3,BRAVE
coward,coward,,,685,COWARD
